Tanggal,Bulan_File,Deskripsi,Debit,Kredit,Saldo_Berjalan_Terkoreksi,Kode_Akun_Lawan_Saran,Nama_Akun_Lawan_Saran,Confidence,Catatan
2026-04-05,April,"Penggantian uang Toll Clay 4 SJ ( 1903, 1940, 1980, 2069 )  - b 9593 kiu",,260000,1047000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-05,April,"Penggantian uang Toll Clay 4 SJ ( 1922, 1948, 2054, 2086 )  - b 9550 cyu",,260000,787000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-06,April,Toll Ari PP Ancol,,100000,687000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-06,April,"Penggantian uang Toll CMU Reza (SJ 6768, 7157)",,110000,577000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-06,April,"Penggantian uang Toll CMU Sukma (SJ 6608, 6729, 6902, 7152, 7168)",,275000,302000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-06,April,"Penggantian uang Toll CMU Asep ( SJ 6730, 6903, 7155, 7166)",,220000,82000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-06,April,"Penggantian uang Toll CMU Aril ( SJ 06606, 6769, 7163, 7175)",,220000,-138000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-06,April,"Penggantian uang Toll CMU Yatno ( SJ 06607, 6766, 7153, 7169)",,220000,-358000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-06,April,Pembelian Oli Hidrolik 5ltr dan Air Aki 6btl,,200000,-558000,5120,Oli & Pelumas Armada,Tinggi,
2026-04-08,April,Biaya Jasa Bongkar pasang Seal Roda Kanan dan lain-lain unit B 9939 FYZ - Asep,,950000,-1508000,5210,Servis & Perbaikan Berkala,Tinggi,
2026-04-08,April,Biaya Makan dan Minum Mekanik saat Bongkar Pasang / Stooring B 9939 FYZ,,100000,-1608000,5210,Servis & Perbaikan Berkala,Sedang,Konsumsi terkait pekerjaan servis
2026-04-08,April,Penggantian Toll Jatiasih Asep ( Sj 6764 ),,50000,-1658000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-08,April,Penggantian Toll Jatiasih Reza ( Sj 6849 ),,50000,-1708000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-08,April,"Penggantian Toll Jatiasih Sukma ( Sj 7110, 7318)",,100000,-1808000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-08,April,Penggantian Toll Jatiasih Aril ( SJ 7450 ),,50000,-1858000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-08,April,Penggantian Toll Jatiasih Yatno ( SJ 7213 ),,50000,-1908000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-08,April,"Penggantian Uang Toll Cikampek Reza (330020, 330038, 330039, 330055)",,344000,-2252000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-08,April,Penggantian Uang Toll Cikampek Aril (330037),,86000,-2338000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-08,April,Penggantian Uang Toll Cikampek Asep (330054),,86000,-2424000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-08,April,Pembayaran Grab untuk Pengiriman Seal Roda dan Grease 1 Pael/ember,,25000,-2449000,6140,ATK & Cetakan Surat Jalan,Sedang,
2026-04-09,April,Biaya Jasa Bongkar pasang Seal Roda Kiri dan lain-lain unit B 9939 FYZ - Asep,,300000,-2749000,5210,Servis & Perbaikan Berkala,Tinggi,
2026-04-09,April,Biaya Makan dan Minum Mekanik saat Bongkar Pasang / Stooring B 9939 FYZ,,50000,-2799000,5210,Servis & Perbaikan Berkala,Sedang,Konsumsi terkait pekerjaan servis
2026-04-09,April,"Uang Jalan Siang ke Kasablanka Yatno (Sj 7099, 7268 )",,100000,-2899000,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-04-09,April,Uang Jalan Siang ke Kasablanka Reza (Sj 7105),,50000,-2949000,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-04-09,April,Uang Jalan Siang ke Kasablanka Sukma ( Sj 7207),,50000,-2999000,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-04-09,April,Uang Jalan Siang ke Kasablanka Aril ( Sj 7261),,50000,-3049000,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-04-09,April,Penggantian uang tol yatno B 9592 KIU ke cibitung,,37500,-3086500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-10,April,Penggantian uang tol asep ke ci bitung B 9939 FYZ,,72000,-3158500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-10,April,Pembelian Ban Dalam dan Ongkos bongkar pasang velg ban - B 9939 FYZ Asep,,150000,-3308500,5210,Servis & Perbaikan Berkala,Sedang,
2026-04-13,April,Uang Jalan Siang ke Kasablanka Asep (Sj 7555),,50000,-3358500,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-04-13,April,Pembelian PHD untuk Orang kantor Tunas Maju,,487000,-3845500,6320,Jamuan & Representasi,Tinggi (dikonfirmasi user),Deskripsi tidak cocok dengan pola akun manapun - PERLU VERIFIKASI manual | Dikonfirmasi user: perlakukan seperti biaya hiburan/jamuan klien.
2026-04-13,April,Penggantian uang Toll CMU Sukma (SJ 7361),,55000,-3900500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-13,April,"Penggantian uang Toll CMU Aril (SJ 7373, 7568)",,110000,-4010500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-13,April,Penggantian uang Toll CMU Yatno ( SJ 7372),,55000,-4065500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-13,April,Penggantian uang Toll CMU Asep (SJ 7581),,55000,-4120500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-13,April,Toll Ari PP Ancol,,100000,-4220500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-13,April,pembelian Atk Pulpen dan Print,,10000,-4230500,6140,ATK & Cetakan Surat Jalan,Sedang,
2026-04-14,April,"Penambahan Uang Kas Masuk 2x @2.500.000,-",5000000,,769500,1112,Bank BCA Operasional,Tinggi,
2026-04-14,April,Penggantian Uang Toll Anton BPK 2SJ,,136000,633500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-14,April,Penggantian Uang Toll Cikampek Asep 1SJ,,86000,547500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-14,April,Penggantian Uang Toll Cikampek Yatno 1SJ,,86000,461500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-14,April,Jasa dan Ganti Per belakang No 1 dan No 7 unit B 9939 FYZ,,2125000,-1663500,5210,Servis & Perbaikan Berkala,Tinggi,
2026-04-14,April,Penggantian Uang Solar ke Bengkel per Pulogadung - B 9939 FYZ,,50000,-1713500,5110,BBM Armada,Tinggi,
2026-04-14,April,Biaya Jasa Bongkar pasang Seal Roda Kiri dan lain-lain unit B 9939 FYZ - Asep,,300000,-2013500,5210,Servis & Perbaikan Berkala,Tinggi,
2026-04-14,April,Biaya pembelian makan dan minum Mekanik B 9939 FYZ,,50000,-2063500,5210,Servis & Perbaikan Berkala,Sedang,Konsumsi terkait pekerjaan servis
2026-04-14,April,Pembelian BBM B 9140 SAL,,302000,-2365500,5110,BBM Armada,Tinggi,
2026-04-14,April,Pembelian Materai 10000 @8 ,,96200,-2461700,6220,Biaya Transfer & Materai,Tinggi,
2026-04-16,April,"Pembelian Matrai 10.000 @12.000x4 dan pembelian ATK, Print",,104000,-2565700,6220,Biaya Transfer & Materai,Sedang,Baris gabungan materai + ATK/print - dominan materai
2026-04-16,April,Toll Ari PP Ancol,,100000,-2665700,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-17,April,Penambahan Uang Kas Masuk,5000000,,2334300,1112,Bank BCA Operasional,Tinggi,
2026-04-18,April,Stempet kendaraan B 9549 CYU,,150000,2184300,5240,Cuci Grease & Aksesoris Kecil,Sedang,
2026-04-20,April,Pembelian Air Coolen 3 Galon,,120000,2064300,5220,Sparepart Armada,Sedang,
2026-04-20,April,Biaya Jasa Cuci Steam B 9549 CYU,,100000,1964300,5240,Cuci Grease & Aksesoris Kecil,Sedang,
2026-04-20,April,Biaya Jasa Stempet dan Las B 9550 CYU,,150000,1814300,5240,Cuci Grease & Aksesoris Kecil,Sedang,
2026-04-20,April,"Biaya Jasa Stempet kendaraan B 9592 KIU, B 9593 KIU, B 9939 FYZ",,300000,1514300,5240,Cuci Grease & Aksesoris Kecil,Sedang,
2026-04-20,April,Toll Ari PP Ancol,,100000,1414300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-22,April,Pembelian sparepart B 9939 FYZ (Plat Kopling dan Oli Power Stering),,2196000,-781700,5220,Sparepart Armada,Tinggi,
2026-04-22,April,Jasa Perbaikan B 9939 FYZ untuk Bongkar Pasang Plat Kopling di Alsut,,1700000,-2481700,5210,Servis & Perbaikan Berkala,Tinggi,
2026-04-22,April,Pembelian Makan dan Minum saat bongkar Pasang Kendaraan B 9939 FYZ di Alsut,,150000,-2631700,5210,Servis & Perbaikan Berkala,Sedang,Konsumsi terkait pekerjaan servis
2026-04-22,April,Top Up dari Rekening Pribadi Boss,5000000,,2368300,2153,Hutang Pemegang Saham,Tinggi (dikonfirmasi user),"Dana masuk dari rekening pribadi pemilik - mungkin kontribusi modal/prive pemilik, cek klasifikasi dengan pemilik | Dikonfirmasi user: bukan prive (krn berbentuk PT), ini pinjaman dari pemegang saham. [Koreksi: sebelumnya salah dicoba diterapkan ke bank_ledger, row ini sebenarnya di kas_ledger]"
2026-04-22,April,Jasa ganti oli transmisi dan cek unit asep B 9959 FYZ,,150000,2218300,5210,Servis & Perbaikan Berkala,Tinggi,
2026-04-22,April,"Tiga mobil muatan batu split ke cipayung TMII B 9592 KIU, B 9593 KIU B 9549 CYU",4500000,,6718300,4100,Pendapatan Usaha,Sedang,Kemungkinan pendapatan jasa angkut/muatan
2026-04-22,April,Pembelian minum dan gorengan kopi saat perbaikan dan pengecekan unit asep B 9959 FYZ,,50000,6668300,5150,Uang Jalan Makan & Penginapan Sopir,Sedang,
2026-04-23,April,Pembelian BBM B 9140 SAL,,305000,6363300,5110,BBM Armada,Tinggi,
2026-04-23,April,Toll Ari PP Ancol,,100000,6263300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-26,April,Pembelian sparepart,,339000,5924300,5220,Sparepart Armada,Tinggi,
2026-04-26,April,"Pembayaran Jasa Bongkar pasang dan Service rutin B 9592 KIU, B 9550 CYU, B 9549 CYU",,1750000,4174300,5210,Servis & Perbaikan Berkala,Tinggi,
2026-04-26,April,Pembelian Makan dan Minum saat Bongkar pasang dari Pagi sampai Malam Hari,,258000,3916300,5210,Servis & Perbaikan Berkala,Sedang,Konsumsi terkait pekerjaan servis
2026-04-26,April,Toll Ari PP Ancol,,100000,3816300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-26,April,"Pembelian minum, gorengan kopi es dll",,100000,3716300,5150,Uang Jalan Makan & Penginapan Sopir,Sedang,
2026-04-26,April,"Jasa service ganti oli mesin, oli transmisi, ganti filter oli, solar filter, filter transmisi, dll. B 9549 CYU, B 9550 CYU, B 9542 KIU",,1500000,2216300,5110,BBM Armada,Tinggi,
2026-04-27,April,"Penggantian uang tol ke jatiasih B 9550 CYU SJ 08601,08575",,131000,2085300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-27,April,Penggantian uang tol cikampek anton/rendi,,131000,1954300,5160,Tol Parkir & Retribusi Jalan,Tinggi (dikonfirmasi user),"DIKONFIRMASI USER (2026-08-21): BUKAN duplikat, memang 2 transaksi terpisah."
2026-04-27,April,Penggantian uang tol cikampek anton/yatno,,131000,1823300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-27,April,Penggantian uang tol cikampek anton/rendi,,131000,1692300,5160,Tol Parkir & Retribusi Jalan,Tinggi (dikonfirmasi user),"DIKONFIRMASI USER (2026-08-21): BUKAN duplikat, memang 2 transaksi terpisah."
2026-04-27,April,Penggantian uang tol cikampek anton/aril,,114000,1578300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-27,April,Penggantian uang tol cikampek anton/sukma,,131000,1447300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-27,April,Penggantian uang tol yatno B 9592 KIU antar pasir ke jatiasih,,50000,1397300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-27,April,Penggantian uang tol yatno B 9549 CYU antar pasir ke jatiasih,,50000,1347300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-28,April,Penambahan Uang Kas Masuk,5000000,,6347300,1112,Bank BCA Operasional,Tinggi,
2026-04-28,April,Penggantian uang tol Rendy kiirm tanah 2252,,97000,6250300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-28,April,Penggantian uang tol Rendy kiirm tanah 2296,,97000,6153300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-28,April,Penggantian uang tol cikampek anton/sukma,,131000,6022300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-28,April,Bon makan,,130000,5892300,5150,Uang Jalan Makan & Penginapan Sopir,Sedang,
2026-04-28,April,Penggantian uang tol cikampek anton/aril,,131000,5761300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-28,April,Penggantian uang tol cikampek anton/yatno,,131000,5630300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-28,April,Penggantian uang tol yatno kirim tanah 1945,,73500,5556800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-28,April,Penggantian uang tol reza kirim tanah 1928 ke cikarang,,97000,5459800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-28,April,Penggantian uang tol sukma kirim tanah 2251,,97000,5362800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-28,April,Penggantian uang tol,,45500,5317300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-29,April,Penggantian uang tol sukma kirim tanah 2293,,97000,5220300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-29,April,Penggantian uang tol  reza kirim tanah 2335,,97000,5123300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-29,April,Penggantian uang tol  reza kirim platinum 2308,,97000,5026300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-29,April,Penggantian uang tol  yatno kirim tanah 2287,,97000,4929300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-29,April,Penggantian uang tol  yatno kirim tanah 2342,,97000,4832300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-29,April,"pembelian makan,minum untuk teknisi, supir, dll saat perbaikan B 9549 CYU",,150000,4682300,5150,Uang Jalan Makan & Penginapan Sopir,Sedang,
2026-04-29,April,Jasa bongkar pasang plat kopling unit Aril B 9549 CYU,,1300000,3382300,5210,Servis & Perbaikan Berkala,Tinggi,
2026-04-29,April,Penggantian uang tol Sukma B 9593 KIU SJ 08649,,78000,3304300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-29,April,Penggantian uang tol Sukma B 9939 FYZ SJ 08648,,78000,3226300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-29,April,Penggantian uang tol  randykirim tanah 2331,,72000,3154300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-29,April,Penggantian uang tol sukma kirim tanah 2332,,72000,3082300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-29,April,Bongkar pasang ipx,,120000,2962300,5210,Servis & Perbaikan Berkala,Sedang,
2026-04-29,April,Bayar Pasir,,9425000,-6462700,2153,Hutang Pemegang Saham,Tinggi (dikonfirmasi user),"Transaksi jual-beli pasir/material - tidak ada akun spesifik di CoA yang diberikan | MENUNGGU KLARIFIKASI: user minta diabaikan & dinetkan dengan transaksi 'Terima pembayaran Pasir' sbg hutang pemegang saham, tapi angka selisih yg disebut (9.425.000) tidak cocok secara aritmatika dgn 2 transaksi ini - lihat pertanyaan #2 di pesan chat. | Dikonfirmasi user (revisi jawaban): diperlakukan sbg transaksi Hutang Pemegang Saham terpisah (bukan netting) - pelunasan sebagian hutang (Debit 2153)."
2026-04-29,April,Terima pembayaran Pasir,10990000,,4527300,2153,Hutang Pemegang Saham,Tinggi (dikonfirmasi user),Transaksi jual-beli pasir/material - tidak ada akun spesifik di CoA yang diberikan | MENUNGGU KLARIFIKASI: sama seperti baris 'Bayar Pasir' - lihat pertanyaan #2 di pesan chat. | Dikonfirmasi user (revisi jawaban): diperlakukan sbg transaksi Hutang Pemegang Saham terpisah (bukan netting) - tambahan pinjaman baru dari pemegang saham (Kredit 2153).
2026-04-29,April,Penambahan Uang Kas Masuk,15000000,,19527300,1112,Bank BCA Operasional,Tinggi,
2026-04-30,April,Penggantian uang tol B 9593 KIU antar pasir,,202500,19324800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-30,April,Penggantian uang tol randi B 9939 FYZ antar pasir ke purwakarta,,115500,19209300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-30,April,"penggantian uang tol , + bensin B 9140SAL",,246000,18963300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-01,Mei,FUSO B 9939 FYZ Randi,,110000,18853300,5150,"Uang Jalan, Makan & Penginapan Sopir",Tinggi (dikonfirmasi user),Deskripsi tidak cocok dengan pola akun manapun - PERLU VERIFIKASI manual | Dikonfirmasi user: perlakukan sama seperti uang makan karyawan.
2026-05-01,Mei,Fuso B 9593 KIU ,,110000,18743300,5150,"Uang Jalan, Makan & Penginapan Sopir",Tinggi (dikonfirmasi user),Deskripsi tidak cocok dengan pola akun manapun - PERLU VERIFIKASI manual | Dikonfirmasi user: perlakukan sama seperti uang makan karyawan.
2026-05-02,Mei,Sewa kontrakan Mei,,1100000,17643300,6120,Tunjangan & Lembur Staf,"Sedang (dikonfirmasi user, klasifikasi akun oleh Claude)",Sewa kontrakan/rumah - tidak ada akun sewa properti spesifik di CoA yang diberikan | Dikonfirmasi user: sewa mess untuk pengurus (Arie).
2026-05-04,Mei,Transfer dari BCA Kas Besar,15000000,,32643300,1112,Bank BCA Operasional,Tinggi,
2026-05-04,Mei,Gaji Supir (Pengurus ditransfer pribadi oleh pak Santo),,16926500,15716800,5130,Upah Sopir,Tinggi,
2026-05-04,Mei,Penggantian uang tol,,46000,15670800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-04,Mei,Pengisian BBM B 9140 SAL,,305000,15365800,5110,BBM Armada,Tinggi,
2026-05-05,Mei,Penggantian uang tol Aril B 9549 CYU antar pasir SJ 09118,,64000,15301800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-05,Mei,"print, paperclip, materai",,69500,15232300,6220,Biaya Transfer & Materai,Sedang,Baris gabungan materai + ATK/print - dominan materai
2026-05-06,Mei,Tol PP B 9592 KIU SJ 260000033,,75500,15156800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-06,Mei,Penggantian uang Toll Yatno B 9592 KIU antar pasir ke cibitung SJ 08984 ,,64000,15092800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-06,Mei,Penggantian uang Toll Asep B 9939 FYZ antar pasir ke cibitung SJ 08985 ,,64000,15028800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-06,Mei,Penggantian uang tol Randi B 9549 CYU Antar pasir SJ 260000019,,65500,14963300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-06,Mei,Bongkar pasang dingdong dan trunion 1 set / rumah Bugi. storing Asep B 9939 FYZ,,1000000,13963300,5210,Servis & Perbaikan Berkala,Sedang,
2026-05-06,Mei,penggantian uang tol,,62500,13900800,5160,Tol Parkir & Retribusi Jalan,Tinggi,Tanggal tidak tercantum di sumber (baris 23) - diasumsikan 2026-05-06 berdasarkan posisi baris berdekatan - PERLU VERIFIKASI tanggal aktual
2026-05-06,Mei,Penggantian uang tol B 9593 KIU Sukma antar pasir ke cisauk SJ 260000018,,133200,13767600,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-06,Mei,Pembelian miinum makan dan uang keamanan security rest area karang tengah Asep B 9939 FYZ,,150000,13617600,5150,Uang Jalan Makan & Penginapan Sopir,Sedang,
2026-05-06,Mei,Penggantian uang tol Apriadi B 9550 CYU Antar pasir ke cibitung SJ 260000057,,78000,13539600,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-07,Mei,Penggantian uang tol Aril B 9549 CYU antar pasir SJ 260000021,,39000,13500600,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-07,Mei,Air zuur,,90000,13410600,5220,Sparepart Armada,Sedang,Tanggal tidak tercantum di sumber (baris 31) - diasumsikan 2026-05-07 berdasarkan posisi baris berdekatan - PERLU VERIFIKASI tanggal aktual
2026-05-07,Mei,Penggantian uang tol antar pasir cikampek SJ SR 260000020,,67000,13343600,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-07,Mei,Penggantian uang tol antar pasir cikampek SJ SR 260000025,,131000,13212600,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-07,Mei,"uang koordinasi ke PIK3 Pioneer SJ 09045, SJ 09089, SJ 09100",,240000,12972600,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-05-08,Mei,Penggantian uang tol Apridi B 9550CYU antar pasir SJ 09084,,53000,12919600,5160,Tol Parkir & Retribusi Jalan,Tinggi,"Tanggal tertulis 2026-08-05 kemungkinan besar typo untuk 2026-05-08 (posisi baris berada di antara transaksi 6-7 Mei) - diurutkan berdasarkan posisi baris asli di sumber (bukan tanggal literal) - PERLU VERIFIKASI tanggal aktual | Tanggal transaksi (2026-08-05) di luar bulan nominal file (Mei) - kemungkinan input terlambat/carry-over dari periode sebelumnya | DIKOREKSI: tanggal asli 2026-08-05 adalah salah ketik, dikonfirmasi user seharusnya 2026-05-08."
2026-05-08,Mei,Penggantian uang tol Apridi B 9550 CYU antar pasir ke purwakarta SJ 09051,,131000,12788600,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-08,Mei,Penggantian uang tol Asep B 9939 FYZ antar pasir ke purwakarta SJ 09066,,131000,12657600,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-08,Mei,Penggantian uang Toll Yatno B 9592 KIU antar pasir ke purwakarta SJ 09067,,131000,12526600,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-08,Mei,Penggantian uang tol Sukma b 9593 KIU SJ BUL0526-000018,,131000,12395600,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-08,Mei,penggantian uang tol randi SJ BUL 0526-00002 B 9549 CYU,,131000,12264600,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-08,Mei,"Uang Koordinasi ke Pioneer Beton PIK 2 unit mobil B 9593 KIU, B 9592 KIU",,160000,12104600,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-05-08,Mei,Penggantian Uang Toll SJ 9186,,268500,11836100,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-09,Mei,Penggantian uang tol Asep B 9939 FYZ antart pasir ke cibitung SJ 09113,,78000,11758100,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-09,Mei,Penggantian uang Toll Yatno B 9592 KIU antar pasir ke cibitung SJ 09114,,53000,11705100,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-09,Mei,Penggantian uang toll Randi B 9593 KIU antar pasir ke cibitung SJ 09117,,86500,11618600,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-10,Mei,Penggantian uang tol Yatno B 9592 KIU SJ BUL0526-00003,,131000,11487600,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-10,Mei,Penggantian uang tol Aril B 9549 CYU SJ BUL0526-00007,,139500,11348100,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-10,Mei,Penggantian uang tol Reza B 9550 CYU SJ BUL0526-000009,,131000,11217100,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-11,Mei,Penggantian uang tol + bensin B 9140 SAL,,304000,10913100,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-11,Mei,Penggantian uang tol Randi B 9592 KIU SJ BUL0526-00004,,131000,10782100,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-11,Mei,Penggantian uang tol Asep B 9939 FYZ SJ BUL0526-00005,,131000,10651100,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-11,Mei,Penggantian uang tol Asep B 9939 FYZ SJ BUL0526-00006,,131000,10520100,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-11,Mei,Penggantian uang tol Randi B 9539 KIU SJ BUL0526-00001,,131000,10389100,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-11,Mei,Penggantian uang tol Reza B 9550 CYU SJ BUL0526-000010,,131000,10258100,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-11,Mei,Ganti ban + Velg,,3050000,7208100,5230,Ban & Vulkanisir,Tinggi,"Kandidat aset, cek kebijakan kapitalisasi"
2026-05-12,Mei,Penggantian uang tol Randi B 9539 KIU SJ BUL0526-00008,,131000,7077100,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-12,Mei,Materai 10.000,,46800,7030300,6220,Biaya Transfer & Materai,Tinggi,
2026-05-12,Mei,Penggantian uang tol B 9593 KIU Randy SJ 09186,,293500,6736800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-12,Mei,Penggantian uang tol Aril B 9549 CYU SJ BUL0526-000011,,131000,6605800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-12,Mei,Makan Siang di Pizza Hut,,659000,5946800,5150,Uang Jalan Makan & Penginapan Sopir,Sedang,
2026-05-12,Mei,Tarik dari ATM,2500000,,8446800,1112,Bank BCA Operasional,Tinggi,
2026-05-13,Mei,ganti ban ,,150000,8296800,5230,Ban & Vulkanisir,Tinggi,
2026-05-13,Mei,Penggantian uang tol kirim ke bandung B 9549 CYU Aril SJ 09187,,293500,8003300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-13,Mei,Penggantian uang tol Yatno B 9592 KIU SJ BUL0526-000016,,131000,7872300,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-13,Mei,Penggantian uang tol Asep B 9939 FYZ SJ BUL0526-000017,,65500,7806800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-13,Mei,Penggantian uang tol ,,92000,7714800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-15,Mei,Penggantian uang tol Reza B 9550 CYU SJ BUL0526-000015,,131000,7583800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-15,Mei,Penggantian uang tol Aril B 9549 CYU SJ BUL0526-000014,,114000,7469800,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-05-15,Mei,Tarik dari ATM,1500000,,8969800,1112,Bank BCA Operasional,Tinggi,
2026-05-17,Mei,"Uang makan 3 mekanik ganti ban, unit reza B 9550 CYU",,150000,8819800,5210,Servis & Perbaikan Berkala,Sedang,Konsumsi/uang makan terkait pekerjaan servis - dikelompokkan sbg biaya perbaikan
2026-05-17,Mei,"Ongkos modal ke cilegon 2 unit dan uang makan yatno, reza @ 50.000. B 9592 KIU, B 9550 CYU",,800000,8019800,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
